MSN,YYYYMM,Value_x,Column_Order,Description,Unit,Month,Date,Value_y,c_v,Anomaly
CLTCBUS,198501,1.599226,1,Coal Consumption,Quadrillion Btu,1,1985-01-01,26.31,-3.161111111,-3.81
NNTCBUS,198501,2.155823,2,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Quadrillion Btu,1,1985-01-01,26.31,-3.161111111,-3.81
PMTCBUS,198501,2.672391,3,Petroleum Consumption (Excluding Biofuels),Quadrillion Btu,1,1985-01-01,26.31,-3.161111111,-3.81
FFTCBUS,198501,6.42789,4,Total Fossil Fuels Consumption,Quadrillion Btu,1,1985-01-01,26.31,-3.161111111,-3.81
NUETBUS,198501,0.384371,5,Nuclear Electric Power Consumption,Quadrillion Btu,1,1985-01-01,26.31,-3.161111111,-3.81
HVTCBUS,198501,0.094973,6,Hydroelectric Power Consumption,Quadrillion Btu,1,1985-01-01,26.31,-3.161111111,-3.81
GETCBUS,198501,0.002641,7,Geothermal Energy Consumption,Quadrillion Btu,1,1985-01-01,26.31,-3.161111111,-3.81
SOTCBUS,198501,2.0E-6,8,Solar Energy Consumption,Quadrillion Btu,1,1985-01-01,26.31,-3.161111111,-3.81
WYTCBUS,198501,2.0E-6,9,Wind Energy Consumption,Quadrillion Btu,1,1985-01-01,26.31,-3.161111111,-3.81
BMTCBUS,198501,0.256315,10,Biomass Energy Consumption,Quadrillion Btu,1,1985-01-01,26.31,-3.161111111,-3.81
RETCBUS,198501,0.353933,11,Total Renewable Energy Consumption,Quadrillion Btu,1,1985-01-01,26.31,-3.161111111,-3.81
TETCBUS,198501,7.175982,12,Total Primary Energy Consumption,Quadrillion Btu,1,1985-01-01,26.31,-3.161111111,-3.81
CLTCBUS,198502,1.405395,1,Coal Consumption,Quadrillion Btu,2,1985-02-01,30.87,-0.627777778,-2.95
NNTCBUS,198502,2.206765,2,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Quadrillion Btu,2,1985-02-01,30.87,-0.627777778,-2.95
PMTCBUS,198502,2.419434,3,Petroleum Consumption (Excluding Biofuels),Quadrillion Btu,2,1985-02-01,30.87,-0.627777778,-2.95
FFTCBUS,198502,6.03303,4,Total Fossil Fuels Consumption,Quadrillion Btu,2,1985-02-01,30.87,-0.627777778,-2.95
NUETBUS,198502,0.32729,5,Nuclear Electric Power Consumption,Quadrillion Btu,2,1985-02-01,30.87,-0.627777778,-2.95
HVTCBUS,198502,0.089219,6,Hydroelectric Power Consumption,Quadrillion Btu,2,1985-02-01,30.87,-0.627777778,-2.95
GETCBUS,198502,0.002332,7,Geothermal Energy Consumption,Quadrillion Btu,2,1985-02-01,30.87,-0.627777778,-2.95
SOTCBUS,198502,0,8,Solar Energy Consumption,Quadrillion Btu,2,1985-02-01,30.87,-0.627777778,-2.95
WYTCBUS,198502,4.0E-6,9,Wind Energy Consumption,Quadrillion Btu,2,1985-02-01,30.87,-0.627777778,-2.95
BMTCBUS,198502,0.231512,10,Biomass Energy Consumption,Quadrillion Btu,2,1985-02-01,30.87,-0.627777778,-2.95
RETCBUS,198502,0.323067,11,Total Renewable Energy Consumption,Quadrillion Btu,2,1985-02-01,30.87,-0.627777778,-2.95
TETCBUS,198502,6.691493,12,Total Primary Energy Consumption,Quadrillion Btu,2,1985-02-01,30.87,-0.627777778,-2.95
CLTCBUS,198503,1.385744,1,Coal Consumption,Quadrillion Btu,3,1985-03-01,43.48,6.377777778,1.98
NNTCBUS,198503,1.767205,2,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Quadrillion Btu,3,1985-03-01,43.48,6.377777778,1.98
PMTCBUS,198503,2.557334,3,Petroleum Consumption (Excluding Biofuels),Quadrillion Btu,3,1985-03-01,43.48,6.377777778,1.98
FFTCBUS,198503,5.710393,4,Total Fossil Fuels Consumption,Quadrillion Btu,3,1985-03-01,43.48,6.377777778,1.98
NUETBUS,198503,0.32972,5,Nuclear Electric Power Consumption,Quadrillion Btu,3,1985-03-01,43.48,6.377777778,1.98
HVTCBUS,198503,0.085029,6,Hydroelectric Power Consumption,Quadrillion Btu,3,1985-03-01,43.48,6.377777778,1.98
GETCBUS,198503,0.002715,7,Geothermal Energy Consumption,Quadrillion Btu,3,1985-03-01,43.48,6.377777778,1.98
SOTCBUS,198503,0,8,Solar Energy Consumption,Quadrillion Btu,3,1985-03-01,43.48,6.377777778,1.98
WYTCBUS,198503,2.0E-6,9,Wind Energy Consumption,Quadrillion Btu,3,1985-03-01,43.48,6.377777778,1.98
BMTCBUS,198503,0.256336,10,Biomass Energy Consumption,Quadrillion Btu,3,1985-03-01,43.48,6.377777778,1.98
RETCBUS,198503,0.344083,11,Total Renewable Energy Consumption,Quadrillion Btu,3,1985-03-01,43.48,6.377777778,1.98
TETCBUS,198503,6.396633,12,Total Primary Energy Consumption,Quadrillion Btu,3,1985-03-01,43.48,6.377777778,1.98
CLTCBUS,198504,1.319424,1,Coal Consumption,Quadrillion Btu,4,1985-04-01,54.34,12.41111111,3.3
NNTCBUS,198504,1.481028,2,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Quadrillion Btu,4,1985-04-01,54.34,12.41111111,3.3
PMTCBUS,198504,2.501434,3,Petroleum Consumption (Excluding Biofuels),Quadrillion Btu,4,1985-04-01,54.34,12.41111111,3.3
FFTCBUS,198504,5.302405,4,Total Fossil Fuels Consumption,Quadrillion Btu,4,1985-04-01,54.34,12.41111111,3.3
NUETBUS,198504,0.28104,5,Nuclear Electric Power Consumption,Quadrillion Btu,4,1985-04-01,54.34,12.41111111,3.3
HVTCBUS,198504,0.084276,6,Hydroelectric Power Consumption,Quadrillion Btu,4,1985-04-01,54.34,12.41111111,3.3
GETCBUS,198504,0.002378,7,Geothermal Energy Consumption,Quadrillion Btu,4,1985-04-01,54.34,12.41111111,3.3
SOTCBUS,198504,4.0E-6,8,Solar Energy Consumption,Quadrillion Btu,4,1985-04-01,54.34,12.41111111,3.3
WYTCBUS,198504,2.0E-6,9,Wind Energy Consumption,Quadrillion Btu,4,1985-04-01,54.34,12.41111111,3.3
BMTCBUS,198504,0.247599,10,Biomass Energy Consumption,Quadrillion Btu,4,1985-04-01,54.34,12.41111111,3.3
RETCBUS,198504,0.334259,11,Total Renewable Energy Consumption,Quadrillion Btu,4,1985-04-01,54.34,12.41111111,3.3
TETCBUS,198504,5.927452,12,Total Primary Energy Consumption,Quadrillion Btu,4,1985-04-01,54.34,12.41111111,3.3
CLTCBUS,198505,1.384445,1,Coal Consumption,Quadrillion Btu,5,1985-05-01,62.06,16.7,1.87
NNTCBUS,198505,1.17293,2,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Quadrillion Btu,5,1985-05-01,62.06,16.7,1.87
PMTCBUS,198505,2.592054,3,Petroleum Consumption (Excluding Biofuels),Quadrillion Btu,5,1985-05-01,62.06,16.7,1.87
FFTCBUS,198505,5.146409,4,Total Fossil Fuels Consumption,Quadrillion Btu,5,1985-05-01,62.06,16.7,1.87
NUETBUS,198505,0.304823,5,Nuclear Electric Power Consumption,Quadrillion Btu,5,1985-05-01,62.06,16.7,1.87
HVTCBUS,198505,0.091284,6,Hydroelectric Power Consumption,Quadrillion Btu,5,1985-05-01,62.06,16.7,1.87
GETCBUS,198505,0.002473,7,Geothermal Energy Consumption,Quadrillion Btu,5,1985-05-01,62.06,16.7,1.87
SOTCBUS,198505,5.0E-6,8,Solar Energy Consumption,Quadrillion Btu,5,1985-05-01,62.06,16.7,1.87
WYTCBUS,198505,1.0E-6,9,Wind Energy Consumption,Quadrillion Btu,5,1985-05-01,62.06,16.7,1.87
BMTCBUS,198505,0.255881,10,Biomass Energy Consumption,Quadrillion Btu,5,1985-05-01,62.06,16.7,1.87
RETCBUS,198505,0.349644,11,Total Renewable Energy Consumption,Quadrillion Btu,5,1985-05-01,62.06,16.7,1.87
TETCBUS,198505,5.812028,12,Total Primary Energy Consumption,Quadrillion Btu,5,1985-05-01,62.06,16.7,1.87
CLTCBUS,198506,1.431061,1,Coal Consumption,Quadrillion Btu,6,1985-06-01,68.09,20.05,-0.38
NNTCBUS,198506,1.100814,2,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Quadrillion Btu,6,1985-06-01,68.09,20.05,-0.38
PMTCBUS,198506,2.503708,3,Petroleum Consumption (Excluding Biofuels),Quadrillion Btu,6,1985-06-01,68.09,20.05,-0.38
FFTCBUS,198506,5.033449,4,Total Fossil Fuels Consumption,Quadrillion Btu,6,1985-06-01,68.09,20.05,-0.38
NUETBUS,198506,0.32755,5,Nuclear Electric Power Consumption,Quadrillion Btu,6,1985-06-01,68.09,20.05,-0.38
HVTCBUS,198506,0.082425,6,Hydroelectric Power Consumption,Quadrillion Btu,6,1985-06-01,68.09,20.05,-0.38
GETCBUS,198506,0.002382,7,Geothermal Energy Consumption,Quadrillion Btu,6,1985-06-01,68.09,20.05,-0.38
SOTCBUS,198506,5.0E-6,8,Solar Energy Consumption,Quadrillion Btu,6,1985-06-01,68.09,20.05,-0.38
WYTCBUS,198506,1.0E-6,9,Wind Energy Consumption,Quadrillion Btu,6,1985-06-01,68.09,20.05,-0.38
BMTCBUS,198506,0.247643,10,Biomass Energy Consumption,Quadrillion Btu,6,1985-06-01,68.09,20.05,-0.38
RETCBUS,198506,0.332457,11,Total Renewable Energy Consumption,Quadrillion Btu,6,1985-06-01,68.09,20.05,-0.38
TETCBUS,198506,5.705607,12,Total Primary Energy Consumption,Quadrillion Btu,6,1985-06-01,68.09,20.05,-0.38
CLTCBUS,198507,1.584552,1,Coal Consumption,Quadrillion Btu,7,1985-07-01,74.03,23.35,0.44
NNTCBUS,198507,1.14242,2,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Quadrillion Btu,7,1985-07-01,74.03,23.35,0.44
PMTCBUS,198507,2.584345,3,Petroleum Consumption (Excluding Biofuels),Quadrillion Btu,7,1985-07-01,74.03,23.35,0.44
FFTCBUS,198507,5.309635,4,Total Fossil Fuels Consumption,Quadrillion Btu,7,1985-07-01,74.03,23.35,0.44
NUETBUS,198507,0.373727,5,Nuclear Electric Power Consumption,Quadrillion Btu,7,1985-07-01,74.03,23.35,0.44
HVTCBUS,198507,0.073612,6,Hydroelectric Power Consumption,Quadrillion Btu,7,1985-07-01,74.03,23.35,0.44
GETCBUS,198507,0.002619,7,Geothermal Energy Consumption,Quadrillion Btu,7,1985-07-01,74.03,23.35,0.44
SOTCBUS,198507,4.0E-6,8,Solar Energy Consumption,Quadrillion Btu,7,1985-07-01,74.03,23.35,0.44
WYTCBUS,198507,0,9,Wind Energy Consumption,Quadrillion Btu,7,1985-07-01,74.03,23.35,0.44
BMTCBUS,198507,0.256159,10,Biomass Energy Consumption,Quadrillion Btu,7,1985-07-01,74.03,23.35,0.44
RETCBUS,198507,0.332393,11,Total Renewable Energy Consumption,Quadrillion Btu,7,1985-07-01,74.03,23.35,0.44
TETCBUS,198507,6.030259,12,Total Primary Energy Consumption,Quadrillion Btu,7,1985-07-01,74.03,23.35,0.44
CLTCBUS,198508,1.561888,1,Coal Consumption,Quadrillion Btu,8,1985-08-01,71.01,21.67222222,-1.07
NNTCBUS,198508,1.141786,2,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Quadrillion Btu,8,1985-08-01,71.01,21.67222222,-1.07
PMTCBUS,198508,2.693552,3,Petroleum Consumption (Excluding Biofuels),Quadrillion Btu,8,1985-08-01,71.01,21.67222222,-1.07
FFTCBUS,198508,5.395869,4,Total Fossil Fuels Consumption,Quadrillion Btu,8,1985-08-01,71.01,21.67222222,-1.07
NUETBUS,198508,0.369775,5,Nuclear Electric Power Consumption,Quadrillion Btu,8,1985-08-01,71.01,21.67222222,-1.07
HVTCBUS,198508,0.06898,6,Hydroelectric Power Consumption,Quadrillion Btu,8,1985-08-01,71.01,21.67222222,-1.07
GETCBUS,198508,0.002737,7,Geothermal Energy Consumption,Quadrillion Btu,8,1985-08-01,71.01,21.67222222,-1.07
SOTCBUS,198508,7.0E-6,8,Solar Energy Consumption,Quadrillion Btu,8,1985-08-01,71.01,21.67222222,-1.07
WYTCBUS,198508,1.0E-6,9,Wind Energy Consumption,Quadrillion Btu,8,1985-08-01,71.01,21.67222222,-1.07
BMTCBUS,198508,0.256301,10,Biomass Energy Consumption,Quadrillion Btu,8,1985-08-01,71.01,21.67222222,-1.07
RETCBUS,198508,0.328026,11,Total Renewable Energy Consumption,Quadrillion Btu,8,1985-08-01,71.01,21.67222222,-1.07
TETCBUS,198508,6.109101,12,Total Primary Energy Consumption,Quadrillion Btu,8,1985-08-01,71.01,21.67222222,-1.07
CLTCBUS,198509,1.424542,1,Coal Consumption,Quadrillion Btu,9,1985-09-01,62.71,17.06111111,-2.13
NNTCBUS,198509,1.065341,2,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Quadrillion Btu,9,1985-09-01,62.71,17.06111111,-2.13
PMTCBUS,198509,2.43853,3,Petroleum Consumption (Excluding Biofuels),Quadrillion Btu,9,1985-09-01,62.71,17.06111111,-2.13
FFTCBUS,198509,4.925617,4,Total Fossil Fuels Consumption,Quadrillion Btu,9,1985-09-01,62.71,17.06111111,-2.13
NUETBUS,198509,0.366541,5,Nuclear Electric Power Consumption,Quadrillion Btu,9,1985-09-01,62.71,17.06111111,-2.13
HVTCBUS,198509,0.064761,6,Hydroelectric Power Consumption,Quadrillion Btu,9,1985-09-01,62.71,17.06111111,-2.13
GETCBUS,198509,0.002602,7,Geothermal Energy Consumption,Quadrillion Btu,9,1985-09-01,62.71,17.06111111,-2.13
SOTCBUS,198509,5.0E-6,8,Solar Energy Consumption,Quadrillion Btu,9,1985-09-01,62.71,17.06111111,-2.13
WYTCBUS,198509,3.0E-6,9,Wind Energy Consumption,Quadrillion Btu,9,1985-09-01,62.71,17.06111111,-2.13
BMTCBUS,198509,0.247997,10,Biomass Energy Consumption,Quadrillion Btu,9,1985-09-01,62.71,17.06111111,-2.13
RETCBUS,198509,0.315367,11,Total Renewable Energy Consumption,Quadrillion Btu,9,1985-09-01,62.71,17.06111111,-2.13
TETCBUS,198509,5.620093,12,Total Primary Energy Consumption,Quadrillion Btu,9,1985-09-01,62.71,17.06111111,-2.13
CLTCBUS,198510,1.389491,1,Coal Consumption,Quadrillion Btu,10,1985-10-01,54.28,12.37777778,0.18
NNTCBUS,198510,1.171877,2,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Quadrillion Btu,10,1985-10-01,54.28,12.37777778,0.18
PMTCBUS,198510,2.647682,3,Petroleum Consumption (Excluding Biofuels),Quadrillion Btu,10,1985-10-01,54.28,12.37777778,0.18
FFTCBUS,198510,5.207793,4,Total Fossil Fuels Consumption,Quadrillion Btu,10,1985-10-01,54.28,12.37777778,0.18
NUETBUS,198510,0.331461,5,Nuclear Electric Power Consumption,Quadrillion Btu,10,1985-10-01,54.28,12.37777778,0.18
HVTCBUS,198510,0.069105,6,Hydroelectric Power Consumption,Quadrillion Btu,10,1985-10-01,54.28,12.37777778,0.18
GETCBUS,198510,0.002491,7,Geothermal Energy Consumption,Quadrillion Btu,10,1985-10-01,54.28,12.37777778,0.18
SOTCBUS,198510,3.0E-6,8,Solar Energy Consumption,Quadrillion Btu,10,1985-10-01,54.28,12.37777778,0.18
WYTCBUS,198510,2.0E-6,9,Wind Energy Consumption,Quadrillion Btu,10,1985-10-01,54.28,12.37777778,0.18
BMTCBUS,198510,0.256175,10,Biomass Energy Consumption,Quadrillion Btu,10,1985-10-01,54.28,12.37777778,0.18
RETCBUS,198510,0.327776,11,Total Renewable Energy Consumption,Quadrillion Btu,10,1985-10-01,54.28,12.37777778,0.18
TETCBUS,198510,5.878616,12,Total Primary Energy Consumption,Quadrillion Btu,10,1985-10-01,54.28,12.37777778,0.18
CLTCBUS,198511,1.385921,1,Coal Consumption,Quadrillion Btu,11,1985-11-01,39.51,4.172222222,-2.18
NNTCBUS,198511,1.345754,2,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Quadrillion Btu,11,1985-11-01,39.51,4.172222222,-2.18
PMTCBUS,198511,2.499163,3,Petroleum Consumption (Excluding Biofuels),Quadrillion Btu,11,1985-11-01,39.51,4.172222222,-2.18
FFTCBUS,198511,5.228088,4,Total Fossil Fuels Consumption,Quadrillion Btu,11,1985-11-01,39.51,4.172222222,-2.18
NUETBUS,198511,0.320428,5,Nuclear Electric Power Consumption,Quadrillion Btu,11,1985-11-01,39.51,4.172222222,-2.18
HVTCBUS,198511,0.079075,6,Hydroelectric Power Consumption,Quadrillion Btu,11,1985-11-01,39.51,4.172222222,-2.18
GETCBUS,198511,0.003075,7,Geothermal Energy Consumption,Quadrillion Btu,11,1985-11-01,39.51,4.172222222,-2.18
SOTCBUS,198511,1.0E-6,8,Solar Energy Consumption,Quadrillion Btu,11,1985-11-01,39.51,4.172222222,-2.18
WYTCBUS,198511,1.0E-6,9,Wind Energy Consumption,Quadrillion Btu,11,1985-11-01,39.51,4.172222222,-2.18
BMTCBUS,198511,0.24807,10,Biomass Energy Consumption,Quadrillion Btu,11,1985-11-01,39.51,4.172222222,-2.18
RETCBUS,198511,0.330222,11,Total Renewable Energy Consumption,Quadrillion Btu,11,1985-11-01,39.51,4.172222222,-2.18
TETCBUS,198511,5.889734,12,Total Primary Energy Consumption,Quadrillion Btu,11,1985-11-01,39.51,4.172222222,-2.18
CLTCBUS,198512,1.606739,1,Coal Consumption,Quadrillion Btu,12,1985-12-01,28.81,-1.772222222,-3.87
NNTCBUS,198512,1.951717,2,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Quadrillion Btu,12,1985-12-01,28.81,-1.772222222,-3.87
PMTCBUS,198512,2.757676,3,Petroleum Consumption (Excluding Biofuels),Quadrillion Btu,12,1985-12-01,28.81,-1.772222222,-3.87
FFTCBUS,198512,6.315121,4,Total Fossil Fuels Consumption,Quadrillion Btu,12,1985-12-01,28.81,-1.772222222,-3.87
NUETBUS,198512,0.358837,5,Nuclear Electric Power Consumption,Quadrillion Btu,12,1985-12-01,28.81,-1.772222222,-3.87
HVTCBUS,198512,0.087328,6,Hydroelectric Power Consumption,Quadrillion Btu,12,1985-12-01,28.81,-1.772222222,-3.87
GETCBUS,198512,0.003372,7,Geothermal Energy Consumption,Quadrillion Btu,12,1985-12-01,28.81,-1.772222222,-3.87
SOTCBUS,198512,1.0E-6,8,Solar Energy Consumption,Quadrillion Btu,12,1985-12-01,28.81,-1.772222222,-3.87
WYTCBUS,198512,0,9,Wind Energy Consumption,Quadrillion Btu,12,1985-12-01,28.81,-1.772222222,-3.87
BMTCBUS,198512,0.256246,10,Biomass Energy Consumption,Quadrillion Btu,12,1985-12-01,28.81,-1.772222222,-3.87
RETCBUS,198512,0.346947,11,Total Renewable Energy Consumption,Quadrillion Btu,12,1985-12-01,28.81,-1.772222222,-3.87
TETCBUS,198512,7.032092,12,Total Primary Energy Consumption,Quadrillion Btu,12,1985-12-01,28.81,-1.772222222,-3.87
CLTCBUS,198601,1.628376,1,Coal Consumption,Quadrillion Btu,1,1986-01-01,34.68,1.488888889,4.56
NNTCBUS,198601,2.205211,2,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Quadrillion Btu,1,1986-01-01,34.68,1.488888889,4.56
PMTCBUS,198601,2.680492,3,Petroleum Consumption (Excluding Biofuels),Quadrillion Btu,1,1986-01-01,34.68,1.488888889,4.56
FFTCBUS,198601,6.514033,4,Total Fossil Fuels Consumption,Quadrillion Btu,1,1986-01-01,34.68,1.488888889,4.56
NUETBUS,198601,0.383159,5,Nuclear Electric Power Consumption,Quadrillion Btu,1,1986-01-01,34.68,1.488888889,4.56
HVTCBUS,198601,0.073934,6,Hydroelectric Power Consumption,Quadrillion Btu,1,1986-01-01,34.68,1.488888889,4.56
GETCBUS,198601,0.003438,7,Geothermal Energy Consumption,Quadrillion Btu,1,1986-01-01,34.68,1.488888889,4.56
SOTCBUS,198601,2.0E-6,8,Solar Energy Consumption,Quadrillion Btu,1,1986-01-01,34.68,1.488888889,4.56
WYTCBUS,198601,1.0E-6,9,Wind Energy Consumption,Quadrillion Btu,1,1986-01-01,34.68,1.488888889,4.56
BMTCBUS,198601,0.249178,10,Biomass Energy Consumption,Quadrillion Btu,1,1986-01-01,34.68,1.488888889,4.56
RETCBUS,198601,0.326552,11,Total Renewable Energy Consumption,Quadrillion Btu,1,1986-01-01,34.68,1.488888889,4.56
TETCBUS,198601,7.236036,12,Total Primary Energy Consumption,Quadrillion Btu,1,1986-01-01,34.68,1.488888889,4.56
CLTCBUS,198602,1.412688,1,Coal Consumption,Quadrillion Btu,2,1986-02-01,35.85,2.138888889,2.03
NNTCBUS,198602,1.930555,2,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Quadrillion Btu,2,1986-02-01,35.85,2.138888889,2.03
PMTCBUS,198602,2.442941,3,Petroleum Consumption (Excluding Biofuels),Quadrillion Btu,2,1986-02-01,35.85,2.138888889,2.03
FFTCBUS,198602,5.785886,4,Total Fossil Fuels Consumption,Quadrillion Btu,2,1986-02-01,35.85,2.138888889,2.03
NUETBUS,198602,0.346156,5,Nuclear Electric Power Consumption,Quadrillion Btu,2,1986-02-01,35.85,2.138888889,2.03
HVTCBUS,198602,0.080075,6,Hydroelectric Power Consumption,Quadrillion Btu,2,1986-02-01,35.85,2.138888889,2.03
GETCBUS,198602,0.002953,7,Geothermal Energy Consumption,Quadrillion Btu,2,1986-02-01,35.85,2.138888889,2.03
SOTCBUS,198602,2.0E-6,8,Solar Energy Consumption,Quadrillion Btu,2,1986-02-01,35.85,2.138888889,2.03
WYTCBUS,198602,1.0E-6,9,Wind Energy Consumption,Quadrillion Btu,2,1986-02-01,35.85,2.138888889,2.03
BMTCBUS,198602,0.224922,10,Biomass Energy Consumption,Quadrillion Btu,2,1986-02-01,35.85,2.138888889,2.03
RETCBUS,198602,0.307952,11,Total Renewable Energy Consumption,Quadrillion Btu,2,1986-02-01,35.85,2.138888889,2.03
TETCBUS,198602,6.449229,12,Total Primary Energy Consumption,Quadrillion Btu,2,1986-02-01,35.85,2.138888889,2.03
CLTCBUS,198603,1.385114,1,Coal Consumption,Quadrillion Btu,3,1986-03-01,46.18,7.877777778,4.68
NNTCBUS,198603,1.772385,2,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Quadrillion Btu,3,1986-03-01,46.18,7.877777778,4.68
PMTCBUS,198603,2.727101,3,Petroleum Consumption (Excluding Biofuels),Quadrillion Btu,3,1986-03-01,46.18,7.877777778,4.68
FFTCBUS,198603,5.883728,4,Total Fossil Fuels Consumption,Quadrillion Btu,3,1986-03-01,46.18,7.877777778,4.68
NUETBUS,198603,0.325549,5,Nuclear Electric Power Consumption,Quadrillion Btu,3,1986-03-01,46.18,7.877777778,4.68
HVTCBUS,198603,0.098081,6,Hydroelectric Power Consumption,Quadrillion Btu,3,1986-03-01,46.18,7.877777778,4.68
GETCBUS,198603,0.003071,7,Geothermal Energy Consumption,Quadrillion Btu,3,1986-03-01,46.18,7.877777778,4.68
SOTCBUS,198603,3.0E-6,8,Solar Energy Consumption,Quadrillion Btu,3,1986-03-01,46.18,7.877777778,4.68
WYTCBUS,198603,2.0E-6,9,Wind Energy Consumption,Quadrillion Btu,3,1986-03-01,46.18,7.877777778,4.68
BMTCBUS,198603,0.248837,10,Biomass Energy Consumption,Quadrillion Btu,3,1986-03-01,46.18,7.877777778,4.68
RETCBUS,198603,0.349995,11,Total Renewable Energy Consumption,Quadrillion Btu,3,1986-03-01,46.18,7.877777778,4.68
TETCBUS,198603,6.567422,12,Total Primary Energy Consumption,Quadrillion Btu,3,1986-03-01,46.18,7.877777778,4.68
CLTCBUS,198604,1.264564,1,Coal Consumption,Quadrillion Btu,4,1986-04-01,52.86,11.58888889,1.82
NNTCBUS,198604,1.380229,2,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Quadrillion Btu,4,1986-04-01,52.86,11.58888889,1.82
PMTCBUS,198604,2.594758,3,Petroleum Consumption (Excluding Biofuels),Quadrillion Btu,4,1986-04-01,52.86,11.58888889,1.82
FFTCBUS,198604,5.239137,4,Total Fossil Fuels Consumption,Quadrillion Btu,4,1986-04-01,52.86,11.58888889,1.82
NUETBUS,198604,0.322413,5,Nuclear Electric Power Consumption,Quadrillion Btu,4,1986-04-01,52.86,11.58888889,1.82
HVTCBUS,198604,0.094922,6,Hydroelectric Power Consumption,Quadrillion Btu,4,1986-04-01,52.86,11.58888889,1.82
GETCBUS,198604,0.002769,7,Geothermal Energy Consumption,Quadrillion Btu,4,1986-04-01,52.86,11.58888889,1.82
SOTCBUS,198604,5.0E-6,8,Solar Energy Consumption,Quadrillion Btu,4,1986-04-01,52.86,11.58888889,1.82
WYTCBUS,198604,2.0E-6,9,Wind Energy Consumption,Quadrillion Btu,4,1986-04-01,52.86,11.58888889,1.82
BMTCBUS,198604,0.240788,10,Biomass Energy Consumption,Quadrillion Btu,4,1986-04-01,52.86,11.58888889,1.82
RETCBUS,198604,0.338487,11,Total Renewable Energy Consumption,Quadrillion Btu,4,1986-04-01,52.86,11.58888889,1.82
TETCBUS,198604,5.908141,12,Total Primary Energy Consumption,Quadrillion Btu,4,1986-04-01,52.86,11.58888889,1.82
CLTCBUS,198605,1.32118,1,Coal Consumption,Quadrillion Btu,5,1986-05-01,61.07,16.15,0.88
NNTCBUS,198605,1.192312,2,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Quadrillion Btu,5,1986-05-01,61.07,16.15,0.88
PMTCBUS,198605,2.696101,3,Petroleum Consumption (Excluding Biofuels),Quadrillion Btu,5,1986-05-01,61.07,16.15,0.88
FFTCBUS,198605,5.206938,4,Total Fossil Fuels Consumption,Quadrillion Btu,5,1986-05-01,61.07,16.15,0.88
NUETBUS,198605,0.337725,5,Nuclear Electric Power Consumption,Quadrillion Btu,5,1986-05-01,61.07,16.15,0.88
HVTCBUS,198605,0.093958,6,Hydroelectric Power Consumption,Quadrillion Btu,5,1986-05-01,61.07,16.15,0.88
GETCBUS,198605,0.002798,7,Geothermal Energy Consumption,Quadrillion Btu,5,1986-05-01,61.07,16.15,0.88
SOTCBUS,198605,6.0E-6,8,Solar Energy Consumption,Quadrillion Btu,5,1986-05-01,61.07,16.15,0.88
WYTCBUS,198605,3.0E-6,9,Wind Energy Consumption,Quadrillion Btu,5,1986-05-01,61.07,16.15,0.88
BMTCBUS,198605,0.248822,10,Biomass Energy Consumption,Quadrillion Btu,5,1986-05-01,61.07,16.15,0.88
RETCBUS,198605,0.345587,11,Total Renewable Energy Consumption,Quadrillion Btu,5,1986-05-01,61.07,16.15,0.88
TETCBUS,198605,5.899898,12,Total Primary Energy Consumption,Quadrillion Btu,5,1986-05-01,61.07,16.15,0.88
CLTCBUS,198606,1.46356,1,Coal Consumption,Quadrillion Btu,6,1986-06-01,70.39,21.32777778,1.92
NNTCBUS,198606,1.059219,2,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Quadrillion Btu,6,1986-06-01,70.39,21.32777778,1.92
PMTCBUS,198606,2.624776,3,Petroleum Consumption (Excluding Biofuels),Quadrillion Btu,6,1986-06-01,70.39,21.32777778,1.92
FFTCBUS,198606,5.147695,4,Total Fossil Fuels Consumption,Quadrillion Btu,6,1986-06-01,70.39,21.32777778,1.92
NUETBUS,198606,0.331481,5,Nuclear Electric Power Consumption,Quadrillion Btu,6,1986-06-01,70.39,21.32777778,1.92
HVTCBUS,198606,0.090562,6,Hydroelectric Power Consumption,Quadrillion Btu,6,1986-06-01,70.39,21.32777778,1.92
GETCBUS,198606,0.003036,7,Geothermal Energy Consumption,Quadrillion Btu,6,1986-06-01,70.39,21.32777778,1.92
SOTCBUS,198606,5.0E-6,8,Solar Energy Consumption,Quadrillion Btu,6,1986-06-01,70.39,21.32777778,1.92
